ID,Title,Author,Rating,Review,Status
1,Mahabharata [Bhagavad Gita],Unknown,No Review,No Rating
2,Epic of Gilgamesh,Unknown,No Review,No Rating
3,The Old Testament,Unknown,No Review,No Rating
4,Illiad,Homer,No Review,No Rating
5,Odyssey,Homer,No Review,No Rating
6,Histories,Herodotus,No Review,No Rating
7,[Plays],Sophocles,No Review,No Rating
8,[Plays],Aeschyles,No Review,No Rating
9,Hippolytus,Euripides,No Review,No Rating
10,Bachants,Euripides,No Review,No Rating
11,Electra,Euripides,No Review,No Rating
12,The Phornician Women,Euripides,No Review,No Rating
13,The Peloponesian War,Thucydides,No Review,No Rating
14,Dialogues,Plato,No Review,No Rating
15,Poetics,Aristotle,No Review,No Rating
16,Physics,Aristotle,No Review,No Rating
17,Ethics,Aristotle,No Review,No Rating
18,De Anima,Aristotle,No Review,No Rating
19,Greek Anthology,Unknown,No Review,No Rating
20,On The Nature of Things,Lucretius,No Review,No Rating
21,Parallel Lives,Plutarch,No Review,No Rating
22,Aeneid,Virgil,No Review,No Rating
23,Bucolics,Virgil,No Review,No Rating
24,Georgics,Virgil,No Review,No Rating
25,Annals,Tacitus,No Review,No Rating
26,Metamorphoses,Ovid,No Review,No Rating
27,Heroides,Ovid,No Review,No Rating
28,Amores,Ovid,No Review,No Rating
29,The New Testament,Unknown,No Review,No Rating
30,The Twelve Caesars,Suetonius,No Review,No Rating
31,Meditations,Marcus Aurelius,No Review,No Rating
32,[Poems],Catullus,No Review,No Rating
33,[Poems],Horace,No Review,No Rating
34,Discourses,Epictetus,No Review,No Rating
35,[Plays],Aristophanes,No Review,No Rating
36,Historical Miscellany,Aelianus,No Review,No Rating
37,On the Nature of Animals,Aelianus,No Review,No Rating
38,Argonautica,Apollonius Rhodius,No Review,No Rating
39,Fourteen Byzantine Rulers,Michael Psellus,No Review,No Rating
40,The Rise and Fall of the Roman Empire,Edward Gibbon,No Review,No Rating
41,The Enneads,Plotinus,No Review,No Rating
42,Ecclesiastical History,Eusebius,No Review,No Rating
43,Consolations of Philosophy,Boethius,No Review,No Rating
44,Letters,Pliny the Younger,No Review,No Rating
45,Byzantine verse romances,Unknown,No Review,No Rating
46,Fragments,Heraclitus,No Review,No Rating
47,Confessions,St. Augustine,No Review,No Rating
48,Summa Theologica,Thomas Aquinas,No Review,No Rating
49,The Little Flowers,St. Francis of Assisi,No Review,No Rating
50,The Prince,Niccolò Machiavelli,No Review,No Rating
51,Divide Comedy,Dante Aighieri,No Review,No Rating
52,Novelle,Franco Sacchetti,No Review,No Rating
53,Icelandic sagas,Unknown,No Review,No Rating
54,Anthony and Cleopatra,William Shakespeare,No Review,No Rating
55,Hamlet,William Shakespeare,No Review,No Rating
56,Macbeth,William Shakespeare,No Review,No Rating
57,Henry V,William Shakespeare,No Review,No Rating
58,Unknown,François Rabelais,No Review,No Rating
59,Unknown,Francis Bacon,No Review,No Rating
60,[Selected Works],Martin Luther,No Review,No Rating
61,Institutes of the Christian Religion,John Calvin,No Review,No Rating
62,Essays,Michel de Montaigne,No Review,No Rating
63,Don Quixote,Miguel de Cervantes,No Review,No Rating
64,Discourses,René Descartes,No Review,No Rating
65,Song of Roland,Unknown,No Review,No Rating
66,Beowulf,Unknown,No Review,No Rating
67,Unknown,Benvenuto Cellini,No Review,No Rating
68,Education of Henry Adams,Henry Adams,No Review,No Rating
69,The Leviathan,Thomas Hobbes,No Review,No Rating
70,Thoughts,Blaise Pascal,No Review,No Rating
71,Paradise Lost,John Milton,No Review,No Rating
72,Unknown,John Donne,No Review,No Rating
73,Unknown,Andrew Marvell,No Review,No Rating
74,Unknown,George Herbert,No Review,No Rating
75,Unknown,Richard Crashaw,No Review,No Rating
76,Treatises,Baruch Spinoza,No Review,No Rating
77,Charterhouse of Parma,Stendhal,No Review,No Rating
78,The Red and the Black,Stendhal,No Review,No Rating
79,The Life of Henry Brulard,Stendhal,No Review,No Rating
80,Gulliver’s Travels,Jonathan Swift,No Review,No Rating
81,Tristram Shandy,Laurence Sterne,No Review,No Rating
82,Dangerous Liasons,Choderlos de Laclos,No Review,No Rating
83,Persian Letters,Baron de Montesquieu,No Review,No Rating
84,Second Treatise on Government,John Locke,No Review,No Rating
85,The Wealth of Nations,Adam Smith,No Review,No Rating
86,Discourse on Metaphysics,Gottfried Leibniz,No Review,No Rating
87,Everything,David Hume,No Review,No Rating
88,The Federalist Papers,Unknown,No Review,No Rating
89,Critique of Pure Reason,Immanuel Kant,No Review,No Rating
90,Fear and Trembling,Søren Kierkegaard,No Review,No Rating
91,Either/Or,Søren Kierkegaard,No Review,No Rating
92,Philosophical Fragments,Søren Kierkegaard,No Review,No Rating
93,Notes From the Underground,Fyodor Dostoevsky,No Review,No Rating
94,The Possessed,Fyodor Dostoevsky,No Review,No Rating
95,Democracy in America,Alexis de Tocqueville,No Review,No Rating
96,Faust,Johann Wolfgang von Goethe,No Review,No Rating
97,Italian Journey,Johann Wolfgang von Goethe,No Review,No Rating
98,Empire of the Czar,Marquis de Custine",No Review,No Rating
99,Astolphe-Louis-Léonor,Marquis de Custine",No Review,No Rating
100,Mimesis,Eric Auerbach,No Review,No Rating
101,Conquest of Mexico,William H. Prescott,No Review,No Rating
102,Labyrinths of Solitude,Octavio Paz:,No Review,No Rating
103,The Logic of Scientific Discovery,Sir Karl Popper,No Review,No Rating
104,The Open Society and Its Enemies,Sir Karl Popper,No Review,No Rating
105,Crowds and Power,Elias Canetti,No Review,No Rating
